,article_id,Reference_paper_id,Reference _paper_doi,Reference _paper_title,Reference _paper_venue,Reference _paper_year,Intent,Is_influential
0,10.2196/18652,1e34177fbf532736565600f2cd5550047b552cb2,10.1097/00005650-199111000-00002,Sex Differences in Patients' and Physicians' Communication During Primary Care Medical Visits,Medical care,1991,,False
1,10.2196/18652,116ed1ffbb1c0cd96a18aecd499f2b6316565f95,,Accurate methods for the statistics of surprise and coincidence,,1993,,False
2,10.2196/18652,7ebd8c83e6da028bf3af9de80ac2377cbd8e64b9,,Medicare Managed Care CAHPS®: A Tool for Performance Improvement,Health care financing review,2001,,False
3,10.2196/18652,238e77bc45c729c01dd1758eb650cd6c8b8d5121,10.1177/107755870205900305,Effect of CAHPS Performance Information on Health Plan Choices by Iowa Medicaid Beneficiaries,Medical care research and review : MCRR,2002,,False
4,10.2196/18652,9b4414b4794682a59cf8c96b1b63a0e42abcb2e4,10.1111/j.1369-7625.2007.00483.x,Evaluating the use of a modified CAHPS® survey to support improvements in patient‐centred care: lessons from a quality improvement collaborative,Health expectations : an international journal of public participation in health care and health policy,2008,,False
5,10.2196/18652,df3e51ab397b2862d9c2bf37393d2147934617d3,10.2196/jmir.1157,"Infodemiology and Infoveillance: Framework for an Emerging Set of Public Health Informatics Methods to Analyze Search, Communication and Publication Behavior on the Internet",Journal of medical Internet research,2009,,False
6,10.2196/18652,ecfad02b600bca3178f8781a342d9ed456359599,10.1136/bmj.b1033,Will doctor rating sites improve the quality of care? No,BMJ : British Medical Journal,2009,,False
7,10.2196/18652,eebf578d75f60cd77f51ea8a66906a65aa4bbae0,10.1136/bmj.b1030,Will doctor rating sites improve standards of care? Yes,BMJ : British Medical Journal,2009,,False
8,10.2196/18652,415562acef284ca8f011babdb8c1313233f76096,10.1377/hlthaff.2010.0238,Analysis & commentary. Measuring patient experience as a strategy for improving primary care.,Health affairs,2010,,False
9,10.2196/18652,74b8fcdd5e78a8ac4aec9983226109c3166c03cb,10.1007/s11606-010-1597-1,Physician Groups’ Use of Data from Patient Experience Surveys,Journal of General Internal Medicine,2011,,False
10,10.2196/18652,ba559a6bbf466846ad25e2d4b9ad572d174e764f,10.1056/NEJMp0903473,Googling ourselves--what physicians can learn from online rating sites.,The New England journal of medicine,2010,,False
