,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
0,0,https://doi.org/10.2196/18652,Journal of medical Internet research,assess patient experi healthcar qualiti dental care use patient onlin review unit state mix method studi,2020,background last two decad patient review websit emerg essenti onlin platform doctor rate review recent studi suggest signific websit data sourc patient choos doctor healthcar provid learn improv patient feedback foster cultur trust transpar patient healthcar provid howev compar medic specialti studi onlin patient review focus dentist unit state remain absent object studi sought understand extent onlin patient review provid perform feedback reflect dental care qualiti patient experi method use mix informat method incorpor statist natur languag process domain expert evalu analyz onlin patient review 204751 dentist extract healthgrad two specif aim first examin associ patient rate varieti dentist characterist second identifi topic patient review map nation assess dental patient experi measur patient experi measur consum assess healthcar provid system cahp dental plan survey result higher rate associ femal dentist t71881245 p01 g001 dentist younger age f7 10712824697 p001 g011 whose patient experienc short wait time f4 1500551041777 p0001 g018 also identifi sever topic correspond cahp measur includ discomfort eg painfulpainless root canal deep clean ethic eg highpressur sale unnecessari dental work conclus find suggest onlin patient review could use data sourc understand patient experi healthcar qualiti dentistri,10.2196/18652,Medicine,"Crew Resource Management, Healthcare",https://dl.acm.org/doi/pdf/10.2196/18652?download=true,9,0
1,1,https://doi.org/10.1055/s-0040-1709506,Appl. Clin. Inform.,leverag electron dental record data clinic research nation dental pbrn practic,2020,object aim studi determin feasibl conduct clinic research use electron dental record edr data us solo smallgroup general dental practic nation dental practicebas research network network evalu data complet correct perform surviv analys root canal treatment rct posterior composit restor pcr method ninetynin network general dentistri practic use dentrix eaglesoft edr share deidentifi data patient receiv pcr andor rct perman teeth octob 31 2015 evalu data complet correct summar practic patient characterist summar two treatment tooth type arch locat result eightytwo percent practition male mean age 49 224 year clinic experi final dataset compris 217887 patient 11289594 observ observ period rang 0 37 year patient 73 18 64 year old 56 femal data near 100 complet eight percent observ incorrect data incorrect tooth number surfac primari teeth supernumerari teeth tooth rang indic multitooth procedur instead pcr rct seventythre percent patient dental insur inform 27 lack insur inform gender document patient raceethn miss dataset conclus studi establish feasibl use edr data integr multipl distinct solo smallgroup network practic longitudin studi assess treatment outcom result laid groundwork learn health system enabl practition learn patient outcom use data practic,10.1055/s-0040-1709506,Computer Science Medicine,Dental Procedures,https://dl.acm.org/doi/pdf/10.1055/s-0040-1709506?download=true,7,0
2,2,https://doi.org/10.1186/s13326-020-00222-0,J. Biomed. Semant.,structur reus analysi electron dental data use oral health diseas ontolog,2020,background key challeng improv qualiti health care abl use common framework work patient inform acquir health life scienc disciplin patient inform collect dental care expos mani challeng confront wider scale approach exampl improv qualiti dental care must abl collect analyz data dental procedur multipl practic howev number challeng make difficult first dental electron health record ehr inform often store complex relat databas poor document second common accept implement databas schema dental ehr system third integr work attempt bridg dentistri set healthcar made difficult disconnect represent medic inform within dental disciplin ehr system dentistri increas concern general health patient exampl increas effort monitor heart health system diseas impact disconnect becom sever demonstr address problem develop opensourc oral health diseas ontolog ohd instancebas represent framework dental medic health care inform envis time medic record system use common data back end would make interoper trivial obviat need dedic messag framework move data system ohd yet complet includ enough use demonstr construct demonstr util analysi longev dental restor first narrow use case provid prototyp intend demonstr prospect design principl data backend use consist encompass dental medic inform singl framework result ohd contain 1900 class 59 relationship class relationship import exist obo foundri ontolog use lsw2 lisp semant web softwar librari translat data dental practic ehr system correspond web ontolog languag owl represent base ohd framework owl represent load tripl store proof concept address question clinic relev – surviv analysi longev resin fill restor provid queri use sparql statist analysi code r demonstr perform clinic research use framework ohd compar result previous studi conclus proofofconcept project translat data singl practic use dental practic data demonstr ohd instancebas approach suffici repres data generat realworld routin clinic set ohd applic integr data multipl practic differ dental ehr system intend work understood prospect design ehr data storag would simplifi medic informat system wellunderstood semant use bfobas realist ontolog represent owl data model welldefin web standard,10.1186/s13326-020-00222-0,Computer Science Medicine,"Crew Resource Management, Healthcare,Dental Procedures",https://dl.acm.org/doi/pdf/10.1186/s13326-020-00222-0?download=true,1,0
3,3,https://doi.org/10.1177/2380084419892550,JDR clinical and translational research,find dental harm patient electron health record–bas trigger,2019,background patient may inadvert harm undergo dental treatment improv care must first determin type frequenc harm patient experi identifi case harm alway straightforward dental practic mine data electron health record promis mean effici detect possibl advers event ae method develop 7 electron trigger electron health record base flag patient chart contain distinct event common ae electron chart manual review identifi ae result 1885 chart review 162 contain ae posit predict valu trigger rang high 023 2 bestperform trigger fail implant postsurg complic 009 lowestperform trigger common type ae found pain 275 hard tissu 148 soft tissu 148 nerv injuri 133 ae classifi temporari harm 892 perman harm present 96 ae 12 requir transfer emerg room conclus develop trigger process identifi harm start measur ae first step mitig harm futur knowledg transfer statement retrospect review patient health record use approach systemat identifi measur harm rather random chart review electron health record–bas dental trigger tool effect approach practic identifi patient harm measur one first step improv safeti qualiti care deliv,10.1177/2380084419892550,Medicine,Dental Records,https://dl.acm.org/doi/pdf/10.1177/2380084419892550?download=true,2,0
4,4,https://doi.org/10.1007/978-3-319-98298-4_11,Integration of Medical and Dental Care and Patient Data,health inform technolog consider medic dental data integr,2018,electron integr dental medic care accomplish determin 1 clinic epidemiolog financi need 2 interlock compon avail technolog 3 potenti adapt andor barrier play role integr 4 establish implement plan lead integr activ review condit benefit integr approach technolog current use clinic care also support factor integr,10.1007/978-3-319-98298-4_11,Computer Science Business,Deciduous tooth,https://dl.acm.org/doi/pdf/10.1007/978-3-319-98298-4_11?download=true,0,0
5,5,https://doi.org/10.1007/978-3-319-98298-4_11,Integration of Medical and Dental Care and Patient Data,health inform technolog consider medic dental data integr,2018,electron integr dental medic care accomplish determin 1 clinic epidemiolog financi need 2 interlock compon avail technolog 3 potenti adapt andor barrier play role integr 4 establish implement plan lead integr activ review condit benefit integr approach technolog current use clinic care also support factor integr,10.1007/978-3-319-98298-4_11,Computer Science Business,Edrophonium,https://dl.acm.org/doi/pdf/10.1007/978-3-319-98298-4_11?download=true,0,0
6,6,https://doi.org/10.1007/978-3-319-98298-4_1,Integration of Medical and Dental Care and Patient Data,mouth gateway bodi import medic dental data integr,2018,achiev integr dentalmed care requir understand factor lead separ care dentistri medicin chapter introduc clinic histor practic concept explain evolut two profess also introduc rational close gap benefici societi larg,10.1007/978-3-319-98298-4_1,Computer Science,Tooth root structure,https://dl.acm.org/doi/pdf/10.1007/978-3-319-98298-4_1?download=true,1,0
7,7,https://doi.org/10.1055/s-0039-1688832,Appl. Clin. Inform.,improv oralsystem healthcar interoper electron medic dental record exploratori studi,2019,object electron health record ehr rare share among medic dental provid purpos studi assess current inform share valu improv electron inform share among physician dentist germani unit state materi method survey valid distribut electron physician dentist four academ medic center respond ask anonym ehr use medic dental inform valuabl practic result 118 respons respons rate 232 major 639 respond dentist remaind physician respond 663 rate import share inform 8 1to10 likert scale dentist rate import share clinic inform signific higher physician p 00033 685 provid could recal instanc access medic dental inform would improv patient care dentist signific like report physician p 0008 conclus physician would valu standard measur oral health ehr dentist less like find specif medic diagnost test result valu dentist physician agre oralsystem health import interoper ehr could facilit inform transfer provid enhanc research oralsystem health connect dentist physician believ interoper ehr would use practic desir inform differ group refin inform need share practic requir,10.1055/s-0039-1688832,Computer Science Medicine,Structure of permanent tooth,https://dl.acm.org/doi/pdf/10.1055/s-0039-1688832?download=true,7,0
8,8,https://doi.org/10.1159/000499700,Caries Research,develop test electron health recordderiv cari indic,2019,cari indic basi epidemiolog cari measur easili obtain clinic set studi object design test valid autom program valid electron health record dental cari indic calcul tool verdict calcul cari indic electron health record ehr synthet use case scenario actual patient case primari mix perman dentit includ decay miss fill teeth dmftdmft tooth surfac dmfsdmfs enter ehr verdict measur compar previous valid clinic electron data captur edc system statist program calcul cari indic four univers clinicianresearch abstract ehr cari exam data 45 synthet use case edc postprocess sas softwar creat gold standard compar verdictderiv cari indic 2 senior research abstract ehr cari exam data calcul cari indic 24 patient allow comparison verdict indic agreement statist comput among abstractor discrep resolv consensus agreement statist 2 finalphas abstractor verdict measur show extrem high concord lin concord coeffici lccs 099 dmfs dmft ds ds dt dt ms mt fs fs ft ft lccs 095 dmfs dmft lccs 092–093 ms mt cari indic essenti develop primari health outcom measur research reliabl deriv ehr use verdict use indic enabl popul oral health manag approach inform qualiti improv effort,10.1159/000499700,Medicine,Behavior,https://dl.acm.org/doi/pdf/10.1159/000499700?download=true,1,0
9,9,https://doi.org/10.5210/ojphi.v11i2.10131,Online journal of public health informatics,implement emr system comprehens dental servic within larg region hospit network challeng opportun present introduct new technolog,2019,object develop new inform technolog signific effect health care system implement associ chang manag process bring posit chang gain understand challeng make transit benefit challeng explor context hospit base dental depart addit concept integr oral health overal system health explor context electron medic record system implement american dental associ recent recognit dental anesthesiolog clinic subspecialti method qualit survey attend dental faculti member depart repres broad rang dental specialti experi privat practic hospit base practic teach public health practic result faculti survey yield consist theme rang enhanc inform make better diagnos challeng transit emr well concern data secur much time effort front comput screen discuss brief summari histori standalon develop dentistri given contribut separ develop dental emr hospit emr various modal clinic care provid depart dentistri advoc illinoi mason medic center chicago il present give scope area need success emr solut must meet hospit base dental set public health aspect includ discuss conclus macro level health data set ie nhane state level dataset potenti expand includ thorough data combin medic health data oral health data dataset,10.5210/ojphi.v11i2.10131,Medicine Psychology,"General Practice, Dental",https://dl.acm.org/doi/pdf/10.5210/ojphi.v11i2.10131?download=true,1,0
