url,Year,Title,Authors,Venue (Journal Name or Conference),DOI,DOI - Yes/No,Summary,,
https://www.researchgate.net/profile/Sushi-Kadanakuppe/publication/271829155_Digital_Revolution_Informatics_for_Oral_Healthcare_Profession/links/54d26ae00cf25017917e01c6/Digital-Revolution-Informatics-for-Oral-Healthcare-Profession.pdf,2015,Digital Revolution: Informatics for Oral Healthcare Profession,"Kadanakuppe, Sushi & Bhat, Padma & Umesha, Nayak. "," International Journal of Latest Technology in Engineering, Management & Applied Sciences. ",ISSN 2278 - 2540,no,"The article discuss the dental informatics as a disipline, its evolution and application in clinical care with electronic health records, research, education and continuing dental education. The author suggests that dental profession should implement informatics in dentistry.",,
https://pubmed.ncbi.nlm.nih.gov/25308567/,2014,Collaboration Spotting for oral medicine.,"Leonardi, E., Agocs, A., Fragkiskos, S., Kasfikis, N., Le Goff, J. M., Cristalli, M. P., Luzzi, V., & Polimeni, A.",Minerva Stomatologica,PMID: 25308567,no,"The goal of the Collaboration Spotting project is to create an automatic system to collect information about publications and patents related to a given technology, to identify the key players in the technology. sociogram is created using logical filter based on a set of keywords to extract a list of publications from the Web of Science database. in conclusion Collaboration Spotting system allows the automatic creation of interactive maps to show the current and historical state of research on a specific technology. the researchers demonstrated that the system can be used in oral medicine as is produced the maps for an initial set of technologies in this field and now they are planning to enlarge the set of mapped technologies.",,
https://ebooks.iospress.nl/volumearticle/36835,2014,Assessing the current state of dental informatics in saudi arabia: the new frontier,"Lubna Al-Nasser 1, Ali Al-Ehaideb 1, Mowafa Househ 2",Journal of oral and maxillofacial pathology : JOMFP,10.3233/978-1-61499-423-7-165,not working ,"The article talks about how dental informatics in evolving in Saudi Arabia. Data is collected from the articles published over the years and interviewing the professionals aho have knowledge in the field. The current challenges like lack IT technical support, social acceptance and financial costs. Several latest initiatives the professionals are taking to advance the field.   ",,
https://www.jeed.in/text.asp?2013/3/1/44/126945,2013,Dental informatics,"Sruthi Haridass,  Vandana Sampath",Journal of Education and Ethics in Dentistry,3:44-6,no,"This journal review points out the articles about emergence of biomedical informatics into the firld of dentistry, Better Informed in Clinical Practice: A Brief Overview of Dental Informatics, Biomedical Informatics and Translational Medicine, Educating Future Clinicians about Clinical Informatics: A Review of Implementation and Evaluation Cases, Modern Dentistry @ Computerization Dot Com: An Epigrammatic Sketch of the Present Scenario,  Using Electronic Dental Record Data for Research: A Data-mapping Study",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3043354/,2011,The dental informatics online community.,"Jeannie Irwin 1, Titus Schleyer, Heiko Spallek",Bioinformation,10.6026/97320630005307,yes,"The article talks about dental informatics as a emerging discipline and to support the profession they created a Dental Informatics Online Community (DIOC). The DIOC was created and maintanied by The Center for Dental Informatics at the University of Pittsburgh, School of Dental Medicine . This is a open, common, worldwide home for DI researchers or for people who are intrested in the firled of dental infromatics. the articcle didnt focus on assement of its usefulness till now",,
https://pubmed.ncbi.nlm.nih.gov/18327194/,2008,Better informed: an overview of health informatics,"P A Reynolds 1, J Harper, A M Jenner, S Dunne",British Dental Journal,10.1038/bdj.2008.150,yes,"The article talks about the history, importance and growth of healthcare informatics in the healthcare administaration, medical and dental practices. Recent developments in  implement national health IT programmes and focus on fututre patient focused health care system.",,
https://pubmed.ncbi.nlm.nih.gov/18356882/,2008,Better informed in clinical practice - a brief overview of dental informatics,"P A Reynolds 1, J Harper, S Dunne",British Dental Journal,10.1038/bdj.2008.193,yes,"The article discuss about development of health informatics, challenges, clinical decision support, patient records, speech recognition and the future of informaed clinical practice",,
https://www.sciencedirect.com/science/article/pii/S1532338206002107?via%3Dihub,2007,Clinical decision support complements evidence-based decision making in dental practice,Newman MG,The journal of evidence-based dental practice ,https://doi.org/10.1016/j.jebdp.2006.12.016,yes,"The article discusses the importance of clinical decision support (CDS) in making evidence based decision in dental practice. The other sections of the artice are managing large amounts of infoamtionExample of CDS, can CDS improve health care, challenges and next stop in the road map of cds ",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2367256/,2007,Supporting the emergence of dental informatics with an online community. ,"H Spallek 1, J Y Irwin, T Schleyer, B S Butler, P M Weiss",International Computerized Journal of Dentistry,PMCID: PMC2367256 or PMID: 18271498,no,"The article talks about the challenges faced in the field of dental informatics. Developing a dental informatics E-community and different phases in implementing it. The article provided insights into development process of DIOC by emphasizing selected results from an earlier study that assessed the information needs of dental informaticians, researchers, educators, clinicians and other interested parties, and have also addressed the expected benefits of this community of practice.",,
https://www.sciencedirect.com/science/article/pii/S0889540605003665?via%3Dihub,2005,ADA initiates development of orthodontic informatics standards,"William E Harrell Jr 1, Sharon Stanford, Paul Bralower",american journal of orthodontic and dentofacial orthopedics,https://doi.org/10.1016/j.ajodo.2005.04.017,yes,"The article talks about the development of orthodontic informatics which is a subdivision of dental informatics with the help of american dental association. Development of standards for creating the subdivision, scope of the ADA Standars Committee on Dental Infomatics.",,
